date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:49	34840/34840	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2002:56:58%20GMT	https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/skin0204b9.html	(from )
15:42:50	108/108	---MCZ	200	added ('OK')	text/plain	etag:%22120-1741400819;gz%22	https://demoxml.com/robots.txt		(from )
15:42:50	119892/119892	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Aug%202013%2018:18:20%20GMT	https://demoxml.com/html/flatible/css/bootstrap.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/bootstrap.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
15:42:51	8052/8052	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202013%2014:15:52%20GMT	https://demoxml.com/html/flatible/css/magnific-popup.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/magnific-popup.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
15:42:52	3377/3377	---M-Z	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202013%2003:02:22%20GMT	https://demoxml.com/html/flatible/css/flexslider.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/flexslider.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
15:42:52	2767/2767	---M-Z	200	added ('OK')	text/css	date:Sat,%2019%20Oct%202013%2014:43:12%20GMT	https://demoxml.com/html/flatible/css/jquery.bxslider.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/jquery.bxslider.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
15:42:53	1057/1057	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202013%2001:10:06%20GMT	https://demoxml.com/html/flatible/css/fullwidth.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/fullwidth.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
15:42:53	27674/27674	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202013%2003:40:44%20GMT	https://demoxml.com/html/flatible/css/settings.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/settings.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
15:42:53	38333/38333	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Oct%202013%2003:05:52%20GMT	https://demoxml.com/html/flatible/css/style.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/style.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
15:42:54	12820/12820	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Oct%202013%2018:03:08%20GMT	https://demoxml.com/html/flatible/css/responsive.css	C:/My%20Web%20Sites/orjinal/demoxml.com/html/flatible/css/responsive.css	(from https://demoxml.com/html/flatible/skin02.html?storefront=envato-elements)
